,brand,category,stars,num_of_reviews,disc_price,act_price
49,Generic,Men Faishonable 2023 Sports Shoes  ,New to Amazon,0,"₹1,799","₹2,999"
50,Bersache,"Sports Shoes for Men |Latest Stylish Sports Shoes for Men |Lace-Up Lightweight Red Shoes for Running, Walking, Gym,Trekking and Hiking Shoes for Men (ORI-9015)  ",3.3,(113),₹999,"₹4,999"
51,Fusefit,Men's Fit Walk Running Shoe  ,3.9,(459),₹299,"₹1,499"
52,Bourge,Men's Loire-z126 Running Shoes  ,3.8,"(28,480)",₹499.31,"₹1,499"
53,ASIAN,Men's Running Shoes  ,3.8,"(3,031)",₹599,₹999
54,Campus,Men's Rumble Running Shoes  ,3.9,(170),"₹1,099","₹1,399"
55,ASIAN,"Men's Chrome-02 Sports Running,Walking & Gym Shoes with Max Cushion Technology with Memory Form Casual Sneaker Shoes for Men's & Boy's  ",3.8,(379),"₹1,249","₹2,299"
56,ASIAN,Men's Casual Shoes Boy's  ,3.8,"(14,332)",₹499,₹699
57,ASIAN,"Men's Bouncer-05 Sports Running Shoes Latest Stylish Casual Sneakers,Lace up Lightweight Shoes for Running, Walking, Gym  ",3.6,"(1,604)",₹549,₹999
58,Sparx,Mens Sm-747 Casual Shoes  ,3.8,(115),₹789,₹949
59,WORLD WEAR FOOTWEAR,Men's Sport Sneakers Shoes  ,2.8,"(1,125)",₹309,"₹1,499"
60,ASIAN,Shoes Casual Gym For Men  ,3.7,"(1,147)",₹849,"₹1,499"
61,ASIAN,"Men's Express-08 Sports Running,Walking,Gym,Training,Casual Sneaker Lace-Up Lightweight Shoes for Men's & Boy's  ",3.7,"(1,457)",₹645,"₹1,499"
62,Fila,Mens NICO Plus Blue Sport Shoes  ,2.7,(3),"₹1,119","₹2,799"
63,BLACKTOWN,Running Shoes For Men  ,3.6,"(1,386)",₹424,"₹1,299"
64,ASIAN,Shoes Casual For Men  ,3.8,"(4,292)",₹499,₹699
65,Campus,Men's Artemis Running Shoes  ,3.9,(856),"₹1,329","₹1,899"
66,Liberty,Force 10 Sports Shoes for Men's  ,4.1,(9),₹749,₹999
67,Sparx,Womens Sx0123l Walking Shoes  ,4.3,"(14,535)",₹890,₹999
68,Red Tape,Men's Walking Shoes  ,3.5,(204),"₹1,935","₹6,299"
69,ASIAN,Men's Running Shoes  ,3.8,"(6,446)",₹599,₹799
70,Sparx,Men Sports Shoes  ,3.9,"(4,391)",₹786,"₹1,049"
71,ASIAN,Men's Running Shoe  ,3.8,"(2,924)",₹649,₹999
72,Campus,Mens Stonic Running Shoes  ,4.0,"(8,000)",₹824,"₹1,499"
73,BRUTON,Shoes for Trendy Shoes | Casual Shoes | Sports Shoes | Running Shoes | Exclusive Shoes for Men  ,3.0,(133),₹359,"₹1,299"
74,Campus,Mike (N) Men's Running Shoes  ,3.9,"(3,181)","₹1,189","₹1,699"
75,Campus,Men's Running Shoes  ,4.1,"(2,760)",₹575,₹899
