,brand,category,stars,num_of_reviews,disc_price,act_price
174,Sparx,Mens Sm-610 Running Shoe  ,4.0,7913,1383.0,1799.0
175,ASIAN,"Men's SKYPEE-33 High Top Casual Chunky Fashion Sneakers,Dancing Shoes | Basketball Shoes with Rubber Outsole for Boys  ",3.5,481,539.0,999.0
176,Allen Cooper,mens Acss-601-grey Sports Shoes  ,3.7,169,1384.0,4999.0
177,Campus,Men's Gilbert Plus Running Shoes  ,3.9,1160,849.0,1199.0
178,Bourge,Mens Loire-z-134 Running Shoes  ,4.0,99,399.0,1999.0
179,Generic,Smart Light Weight Comfortable Brazil Sports Shoe for Men's & Boys  ,2.5,2,299.0,499.0
180,Bourge,Mens Loire-z195 Sneaker  ,3.7,51,699.0,2199.0
181,Campus,Men's Simba PRO Running Shoes  ,4.0,1074,1103.0,1599.0
182,Bourge,Mens Loire-z146 Running Shoes  ,3.9,1561,399.0,1499.0
183,ASIAN,"Men's Coolfoam-01 Sports Running,Walking & Gym Shoes Casual Sneaker Shoes for Men's & Boy's…  ",3.4,53,1149.0,2299.0
184,Red Tape,Men's Walking Shoes  ,3.5,205,1935.0,6299.0
185,BATA,Men's Formal Shoes  ,3.7,1121,949.0,999.0
186,LANCER,Men's Running Shoes  ,3.8,396,663.0,1249.0
187,Amazon Brand - Symbol,Mens Pag 379 G Uniform Dress Shoe  ,0.0,0,599.0,1999.0
188,Fila,Mens Ragun Plus Sneaker  ,3.6,20,1119.0,3299.0
189,ASIAN,"Men's Wind-04 Sports Walking,Running & Gym Shoes with Eva Sole Casual Lightweight Slip-On Shoes for Men's & Boy's  ",3.7,156,599.0,1299.0
190,ASIAN,"Men's Skypee-31 Sports Running Shoes & Walking,Gym Shoes l Casual Sneaker Shoes for Men's & Boy's  ",3.8,1699,549.0,799.0
191,Woodland,Mens OGC 3608119 Sneaker  ,4.1,481,2921.0,3895.0
192,ENJOY the celebration people,Enjoy Mesh Shoes for Men | Comfortable & Lightweight Trendy Walking & Running Shoes Lace Up | Sneakers for Men | Gym & Workout Shoe Black  ,1.8,3,524.0,1499.0
193,ANDUNE,Men's Barefoot & Minimalist Cross Training Shoes - Grey Bolts | Wide Toe Box | Zero Drop Sole |  ,4.0,98,2499.0,2799.0
194,Adidas,Mens Runmagica M Running Shoes  ,3.9,846,2364.0,4299.0
195,ANDUNE,Men's Barefoot & Minimalist Shoes - Black Blaze | Wide Toe Box | Zero Drop Sole  ,3.6,78,2499.0,2799.0
196,Sparx,Mens Sm-796 Running  ,3.6,18,2232.0,2349.0
197,Sparx,Mens Sx0708g Running Shoe  ,4.2,17,1147.0,1349.0
198,ANDUNE,Men's Barefoot & Minimalist Cross Training Shoes – All Terrain Blue Dash | Wide Toe Box | Zero Drop Sole |  ,3.4,6,3299.0,3799.0
199,BRUTON,Shoes for Trendy Shoes | Casual Shoes | Sports Shoes | Running Shoes | Exclusive Shoes for Men  ,3.0,135,359.0,1299.0
200,Bourge,Mens Loire-z146 Running Shoes  ,3.9,1561,399.0,1499.0
201,Red Tape,Men's Walking Shoes  ,3.5,205,1935.0,6299.0
202,Bourge,Mens Loire-z-191 Running Shoe  ,4.1,6,399.0,1999.0
203,BRUTON,"Shoes for Exclusive Trendy, Casual, Sports Shoes for Men, Running Shoes for Men (Black, Red)  ",2.7,38,359.0,1299.0
